,Emoji_ID,Emoji,Unicode_Name,Arabic_Name,Class,Total_Occurrence,Negativity_Occurrence_N(Negative),Neutrality_Occurrence_N(Neutral),Positivity_Occurrence_N(Positive),Negativite_Probability_P(Negative),Neutral_Probability_P(Neutral),Positive_Probability_P(Positive),Sentiment_Score_S,Sentiment_Label_L
54,b'\xf0\x9f\x92\x97',💗, Growing Heart ,قلب يتضخم,Heart,1036,298,128,610,0.2876447876447876,0.12355212355212356,0.5888030888030888,0.3011583011583012,positive
55,b'\xf0\x9f\x98\x8c',😌, Relieved Face ,وجه مرتاح,Facial Expression,1026,149,106,771,0.145224171539961,0.10331384015594541,0.7514619883040936,0.6062378167641326,positive
56,b'\xf0\x9f\x9a\xb6',🚶, Person Walking ,شخص يمشي,Body Language,1017,609,161,247,0.5988200589970502,0.1583087512291052,0.24287118977384464,-0.3559488692232055,negative
57,b'\xf0\x9f\x92\x90',💐, Bouquet ,باقه أزهار,Nature,997,23,142,832,0.023069207622868605,0.1424272818455366,0.8345035105315948,0.8114343029087262,positive
58,b'\xf0\x9f\x92\x9e',💞, Revolving Hearts ,قلوب دواره,Heart,974,240,85,649,0.2464065708418891,0.08726899383983573,0.6663244353182751,0.419917864476386,positive
59,b'\xf0\x9f\x98\xb4',😴, Sleeping Face ,وجه نائم,Facial Expression,910,629,146,135,0.6912087912087912,0.16043956043956045,0.14835164835164835,-0.5428571428571428,negative
60,b'\xf0\x9f\xa5\x80',🥀, Wilted Flower ,زهره ذابله,Nature,874,347,92,435,0.39680729760547323,0.10604332953249715,0.49714937286202965,0.10034207525655642,positive
61,b'\xf0\x9f\x98\xac',😬, Grimacing Face ,وجه متجهم,Facial Expression,842,715,78,49,0.8473372781065088,0.09349112426035502,0.05917159763313609,-0.7881656804733728,negative
62,b'\xe2\x9c\x8c',✌, Victory Hand ,حركه اليد لعلامه النصر,Body Language,816,164,114,538,0.20146520146520147,0.14041514041514042,0.6581196581196581,0.45665445665445664,positive
63,b'\xf0\x9f\x98\xb3',😳, Flushed Face ,وجه مندهش,Facial Expression,813,600,120,93,0.7365196078431373,0.1482843137254902,0.11519607843137254,-0.6213235294117647,negative
64,b'\xf0\x9f\x98\x95',😕, Confused Face ,وجه مرتبك,Facial Expression,805,719,52,34,0.8910891089108911,0.0655940594059406,0.043316831683168314,-0.8477722772277227,negative
65,b'\xf0\x9f\x99\x88',🙈, See-No-Evil Monkey ,قرد بحركه اليد لقول لا اري,Body Language,770,427,156,187,0.553686934023286,0.20310478654592498,0.24320827943078913,-0.3104786545924968,negative
66,b'\xf0\x9f\x8c\xbf',🌿, Herb ,عشب,Nature,727,70,149,508,0.09726027397260274,0.2054794520547945,0.6972602739726027,0.6,positive
67,b'\xf0\x9f\xa4\xb7',🤷, Person Shrugging ,شخص يهز كتفيه,Body Language,712,255,193,264,0.35804195804195804,0.27132867132867133,0.3706293706293706,0.012587412587412583,neutral
